Id	Name	Area	Population	INS_code
1	Charleroi	3.85 	20144	52011A
2	Dampremy	2.75 	6807	52011B
3	Lodelinsart	2.95 	8459	52011C
4	Gilly	7.39 	19957	52011D
5	Montignies-sur-Sambre	6.04 	18641	52011E
6	Couillet	5.00 	11458	52011F
7	Marcinelle	13.22 	23604	52011G
8	Mont-sur-Marchienne	9.27 	12565	52011H
9	Marchienne-au-Pont	6.74 	15064	52011J
10	Monceau-sur-Sambre	7.09 	9742	52011K
11	Goutroux	2.70 	2911	52011L
12	Roux	5.51 	8773	52011M
13	Jumet	12.65 	24585	52011N
14	Gosselies	12.11 	10774	52011P
15	Ransart	5.69 	8937	52011R 
